Place_id,Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
ChIJnaCSkq5AmYARh_c4dM7FxUA,Reno,,"locality, political","Reno, NV, USA",,Reno,Nevada,United States,39.529919,-119.8142691
ChIJRYQdLTRHmYARu8Op-jB28TE,Silver Legacy Resort Casino,,"casino, lodging, point_of_interest, establishment","407 N Virginia St, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5304918,-119.8149946
ChIJ080StzVHmYARD-YbD1sKARw,Eldorado Reno Resort Casino,,"lodging, point_of_interest, establishment","345 N Virginia St, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5291595,-119.8146488
ChIJ8ZZtmjZHmYARPmy0CY53NYo,Circus Circus Reno,,"lodging, point_of_interest, establishment","500 N Sierra St, Reno, NV 89503, USA",89503,Reno,Nevada,United States,39.5313968,-119.8156128
ChIJBzXVmTNHmYAR6ipRaf8zVCE,J Resort,,"casino, lodging, point_of_interest, establishment","345 N Arlington Ave, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5281442,-119.8188873
ChIJG7qnuls_mYARweP739kMgh8,Grand Sierra Resort and Casino,,"casino, movie_theater, night_club, lodging, bar, restaurant, food, point_of_interest, establishment","2500 E 2nd St, Reno, NV 89595, USA",89595,Reno,Nevada,United States,39.5230411,-119.7812235
ChIJX8m41WY_mYAR7oBrdT7oP9M,"Holiday Inn Express & Suites Reno Airport, an IHG Hotel",,"lodging, point_of_interest, establishment","2375 Market St, Reno, NV 89502, USA",89502,Reno,Nevada,United States,39.513984,-119.782839
ChIJ07LkRY9AmYARbPPabWOgb1I,Peppermill Resort Spa Casino,,"casino, spa, restaurant, food, lodging, point_of_interest, establishment","2707 S Virginia St, Reno, NV 89502, USA",89502,Reno,Nevada,United States,39.4976865,-119.801139
ChIJxQpVnjo_mYARW9gkVzXSKgY,Nugget Casino Resort,,"casino, lodging, point_of_interest, establishment","1100 Nugget Ave, Sparks, NV 89431, USA",89431,Sparks,Nevada,United States,39.53334069999999,-119.7582759
ChIJ38bZfCc_mYARVaorzvHHMps,Holiday Inn Reno-Sparks,,"lodging, point_of_interest, establishment","55 East Nugget Ave, Sparks, NV 89431, USA",89431,Sparks,Nevada,United States,39.53340499999999,-119.742487
ChIJnaCSkq5AmYARh_c4dM7FxUA,Reno,,"locality, political","Reno, NV, USA",,Reno,Nevada,United States,39.529919,-119.8142691
ChIJRYQdLTRHmYARu8Op-jB28TE,Silver Legacy Resort Casino,,"casino, lodging, point_of_interest, establishment","407 N Virginia St, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5304918,-119.8149946
ChIJ080StzVHmYARD-YbD1sKARw,Eldorado Reno Resort Casino,,"lodging, point_of_interest, establishment","345 N Virginia St, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5291595,-119.8146488
ChIJ8ZZtmjZHmYARPmy0CY53NYo,Circus Circus Reno,,"lodging, point_of_interest, establishment","500 N Sierra St, Reno, NV 89503, USA",89503,Reno,Nevada,United States,39.5313968,-119.8156128
ChIJBzXVmTNHmYAR6ipRaf8zVCE,J Resort,,"casino, lodging, point_of_interest, establishment","345 N Arlington Ave, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5281442,-119.8188873
ChIJG7qnuls_mYARweP739kMgh8,Grand Sierra Resort and Casino,,"casino, movie_theater, night_club, lodging, bar, restaurant, food, point_of_interest, establishment","2500 E 2nd St, Reno, NV 89595, USA",89595,Reno,Nevada,United States,39.5230411,-119.7812235
ChIJX8m41WY_mYAR7oBrdT7oP9M,"Holiday Inn Express & Suites Reno Airport, an IHG Hotel",,"lodging, point_of_interest, establishment","2375 Market St, Reno, NV 89502, USA",89502,Reno,Nevada,United States,39.513984,-119.782839
ChIJ07LkRY9AmYARbPPabWOgb1I,Peppermill Resort Spa Casino,,"spa, casino, lodging, restaurant, point_of_interest, food, establishment","2707 S Virginia St, Reno, NV 89502, USA",89502,Reno,Nevada,United States,39.4976865,-119.801139
ChIJxQpVnjo_mYARW9gkVzXSKgY,Nugget Casino Resort,,"casino, lodging, point_of_interest, establishment","1100 Nugget Ave, Sparks, NV 89431, USA",89431,Sparks,Nevada,United States,39.53334069999999,-119.7582759
ChIJ38bZfCc_mYARVaorzvHHMps,Holiday Inn Reno-Sparks,,"lodging, point_of_interest, establishment","55 East Nugget Ave, Sparks, NV 89431, USA",89431,Sparks,Nevada,United States,39.53340499999999,-119.742487
ChIJnaCSkq5AmYARh_c4dM7FxUA,Reno,,"locality, political","Reno, NV, USA",,Reno,Nevada,United States,39.529919,-119.8142691
ChIJRYQdLTRHmYARu8Op-jB28TE,Silver Legacy Resort Casino,,"casino, lodging, point_of_interest, establishment","407 N Virginia St, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5304918,-119.8149946
ChIJ080StzVHmYARD-YbD1sKARw,Eldorado Reno Resort Casino,,"lodging, point_of_interest, establishment","345 N Virginia St, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5291595,-119.8146488
ChIJ8ZZtmjZHmYARPmy0CY53NYo,Circus Circus Reno,,"lodging, point_of_interest, establishment","500 N Sierra St, Reno, NV 89503, USA",89503,Reno,Nevada,United States,39.5313968,-119.8156128
ChIJBzXVmTNHmYAR6ipRaf8zVCE,J Resort,,"casino, lodging, point_of_interest, establishment","345 N Arlington Ave, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5281442,-119.8188873
ChIJG7qnuls_mYARweP739kMgh8,Grand Sierra Resort and Casino,,"casino, movie_theater, night_club, bar, lodging, restaurant, food, point_of_interest, establishment","2500 E 2nd St, Reno, NV 89595, USA",89595,Reno,Nevada,United States,39.5230411,-119.7812235
ChIJX8m41WY_mYAR7oBrdT7oP9M,"Holiday Inn Express & Suites Reno Airport, an IHG Hotel",,"lodging, point_of_interest, establishment","2375 Market St, Reno, NV 89502, USA",89502,Reno,Nevada,United States,39.513984,-119.782839
ChIJ07LkRY9AmYARbPPabWOgb1I,Peppermill Resort Spa Casino,,"casino, spa, lodging, restaurant, food, point_of_interest, establishment","2707 S Virginia St, Reno, NV 89502, USA",89502,Reno,Nevada,United States,39.4976865,-119.801139
ChIJxQpVnjo_mYARW9gkVzXSKgY,Nugget Casino Resort,,"casino, lodging, point_of_interest, establishment","1100 Nugget Ave, Sparks, NV 89431, USA",89431,Sparks,Nevada,United States,39.53334069999999,-119.7582759
ChIJ38bZfCc_mYARVaorzvHHMps,Holiday Inn Reno-Sparks,,"lodging, point_of_interest, establishment","55 East Nugget Ave, Sparks, NV 89431, USA",89431,Sparks,Nevada,United States,39.53340499999999,-119.742487
ChIJnaCSkq5AmYARh_c4dM7FxUA,Reno,,"locality, political","Reno, NV, USA",,Reno,Nevada,United States,39.529919,-119.8142691
ChIJRYQdLTRHmYARu8Op-jB28TE,Silver Legacy Resort Casino,,"casino, lodging, point_of_interest, establishment","407 N Virginia St, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5304918,-119.8149946
ChIJ080StzVHmYARD-YbD1sKARw,Eldorado Reno Resort Casino,,"lodging, point_of_interest, establishment","345 N Virginia St, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5291595,-119.8146488
ChIJ8ZZtmjZHmYARPmy0CY53NYo,Circus Circus Reno,,"lodging, point_of_interest, establishment","500 N Sierra St, Reno, NV 89503, USA",89503,Reno,Nevada,United States,39.5313968,-119.8156128
ChIJBzXVmTNHmYAR6ipRaf8zVCE,J Resort,,"casino, lodging, point_of_interest, establishment","345 N Arlington Ave, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5281442,-119.8188873
ChIJG7qnuls_mYARweP739kMgh8,Grand Sierra Resort and Casino,,"movie_theater, casino, bar, night_club, lodging, restaurant, point_of_interest, food, establishment","2500 E 2nd St, Reno, NV 89595, USA",89595,Reno,Nevada,United States,39.5230411,-119.7812235
ChIJX8m41WY_mYAR7oBrdT7oP9M,"Holiday Inn Express & Suites Reno Airport, an IHG Hotel",,"lodging, point_of_interest, establishment","2375 Market St, Reno, NV 89502, USA",89502,Reno,Nevada,United States,39.513984,-119.782839
ChIJ07LkRY9AmYARbPPabWOgb1I,Peppermill Resort Spa Casino,,"casino, spa, lodging, restaurant, food, point_of_interest, establishment","2707 S Virginia St, Reno, NV 89502, USA",89502,Reno,Nevada,United States,39.4976865,-119.801139
ChIJxQpVnjo_mYARW9gkVzXSKgY,Nugget Casino Resort,,"casino, lodging, point_of_interest, establishment","1100 Nugget Ave, Sparks, NV 89431, USA",89431,Sparks,Nevada,United States,39.53334069999999,-119.7582759
ChIJ38bZfCc_mYARVaorzvHHMps,Holiday Inn Reno-Sparks,,"lodging, point_of_interest, establishment","55 East Nugget Ave, Sparks, NV 89431, USA",89431,Sparks,Nevada,United States,39.53340499999999,-119.742487
ChIJIQBpAG2ahYAR_6128GcTUEo,San Francisco,,"locality, political","San Francisco, CA, USA",,San Francisco,California,United States,37.7749295,-122.4194155
ChIJU1XNrp-AhYARQSQHOG2Ixww,Edwardian Hotel,,"lodging, point_of_interest, establishment","1668 Market St, San Francisco, CA 94102, USA",94102,San Francisco,California,United States,37.773537,-122.421751
ChIJFwX8xJ-AhYARsKrfcnyXwPI,San Francisco Central Hotel,,"lodging, point_of_interest, establishment","1707 Market St, San Francisco, CA 94103, USA",94103,San Francisco,California,United States,37.7720017,-122.422066
ChIJAQ2zvpiAhYARTcxfopA7klQ,Hayes Valley Inn,,"lodging, point_of_interest, establishment","417 Gough St, San Francisco, CA 94102, USA",94102,San Francisco,California,United States,37.77712580000001,-122.4231924
ChIJ1evvfZuAhYAR-beMvqFfSo4,Hotel Whitcomb,,"lodging, point_of_interest, establishment","1231 Market St, San Francisco, CA 94103, USA",94103,San Francisco,California,United States,37.7781667,-122.4151667
ChIJsY43Vyh-j4ARxE8slGieV2w,Civic Center Motor Inn,,"lodging, point_of_interest, establishment","364 9th St, San Francisco, CA 94103, USA",94103,San Francisco,California,United States,37.7725859,-122.4108229
ChIJkaxkTZeAhYARKUGHC1dMXAI,Embassy Hotel,,"lodging, point_of_interest, establishment","610 Polk St, San Francisco, CA 94102, USA",94102,San Francisco,California,United States,37.7823889,-122.4188905
ChIJ-4Q_xoSAhYARK7VKNJdoKKM,Aida Plaza Hotel,,"lodging, point_of_interest, establishment","1087 Market St, San Francisco, CA 94103, USA",94103,San Francisco,California,United States,37.7804985,-122.4120378
ChIJ70zQuZCAhYARdKqXrH-M97s,Phoenix Hotel,,"lodging, point_of_interest, establishment","601 Eddy St, San Francisco, CA 94109, USA",94109,San Francisco,California,United States,37.78293049999999,-122.4178735
ChIJUyKWdIKAhYARwbu-VpwOBYM,Globe Hotel San Francisco SoMa,,"lodging, point_of_interest, establishment","10 Hallam St, San Francisco, CA 94103, USA",94103,San Francisco,California,United States,37.7756659,-122.40861
ChIJVTPokywQkFQRmtVEaUZlJRA,Seattle,,"locality, political","Seattle, WA, USA",,Seattle,Washington,United States,47.6061389,-122.3328481
ChIJf3uV-rNqkFQRmkmlotz3KN0,Fairmont Olympic Hotel - Seattle,4,"bar, lodging, point_of_interest, establishment","411 University St, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.6080126,-122.3338701
ChIJYdpET7FqkFQRG7EKuXswzmg,Executive Hotel Pacific,,"lodging, point_of_interest, establishment","400 Spring St, Seattle, WA 98104, USA",98104,Seattle,Washington,United States,47.6070892,-122.333406
ChIJQXeJQ7FqkFQRwlNZ4OS87bs,Kimpton Hotel Monaco Seattle,3,"lodging, point_of_interest, establishment","1101 4th Ave, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.6068879,-122.3341301
ChIJJ6iYtLZqkFQRGEtPwzzHb48,Kimpton Hotel Vintage Seattle,4,"lodging, travel_agency, restaurant, point_of_interest, food, establishment","1100 5th Ave, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.607606,-122.3325934
ChIJmZ0LzrZqkFQRvUd2Te2zZOA,Renaissance Seattle Hotel,,"lodging, point_of_interest, establishment","515 Madison St, Seattle, WA 98104, USA",98104,Seattle,Washington,United States,47.6066675,-122.3306848
ChIJAb1AobZqkFQRKKLc9KTrh4c,"Crowne Plaza Seattle-Downtown, an IHG Hotel",4,"lodging, point_of_interest, establishment","1113 6th Ave, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.6082077,-122.3321124
ChIJvYvFsLFqkFQRPF48-leg-gc,"Hotel 1000, LXR Hotels & Resorts",,"lodging, point_of_interest, establishment","1000 1st Ave, Seattle, WA 98104, USA",98104,Seattle,Washington,United States,47.60505329999999,-122.3361194
ChIJcRowyrFqkFQRB8nWycTD-mE,The Alexis Royal Sonesta Hotel Seattle,4,"lodging, point_of_interest, establishment","1007 1st Ave, Seattle, WA 98104, USA",98104,Seattle,Washington,United States,47.60480949999999,-122.3368555
ChIJ9dZeFrRqkFQRF14LSyO4FUw,Hilton Seattle,,"lodging, point_of_interest, establishment","1301 6th Ave, Seattle, WA 98101, USA",98101,Seattle,Washington,United States,47.60917399999999,-122.3331396
